img1,img2,same
../../data/train_1/1092.jpg,../../data/train_1/11398.jpg,1
../../data/train_2/22807.jpg,../../data/train_1/13330.jpg,1
../../data/train_2/26557.jpg,../../data/train_2/24272.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23073.jpg,../../data/train_1/102459.jpg,1
../../data/train_2/26889.jpg,../../data/train_1/16073.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/25369.jpg,../../data/train_1/11641.jpg,1
../../data/train_1/14019.jpg,../../data/train_2/24230.jpg,1
../../data/train_2/26415.jpg,../../data/train_2/29586.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/2888.jpg,../../data/train_2/29462.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/20473.jpg,../../data/train_1/14084.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/17244.jpg,../../data/train_1/1032.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/17748.jpg,../../data/train_1/14501.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/18281.jpg,../../data/train_2/25099.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/19153.jpg,../../data/train_2/22153.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/10255.jpg,../../data/train_2/22918.jpg,1
../../data/train_2/21582.jpg,../../data/train_1/18596.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/2901.jpg,../../data/train_1/101787.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/13093.jpg,../../data/train_1/15930.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/17222.jpg,../../data/train_2/21584.jpg,1
../../data/train_1/12607.jpg,../../data/train_2/28372.jpg,1
../../data/train_2/26589.jpg,../../data/train_2/20788.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/16084.jpg,../../data/train_2/29020.jpg,1
../../data/train_2/25020.jpg,../../data/train_2/21310.jpg,1
../../data/train_1/10950.jpg,../../data/train_1/14411.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/111.jpg,../../data/train_1/18688.jpg,1
../../data/train_1/18061.jpg,../../data/train_2/2785.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/25109.jpg,../../data/train_1/11251.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/11446.jpg,../../data/train_2/21243.jpg,1
../../data/train_2/28857.jpg,../../data/train_1/101400.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23314.jpg,../../data/train_2/25022.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23314.jpg,../../data/train_2/25022.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/27815.jpg,../../data/train_2/20189.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/18.jpg,../../data/train_2/26108.jpg,1
../../data/train_2/26996.jpg,../../data/train_2/24137.jpg,1
../../data/train_1/11004.jpg,../../data/train_1/101832.jpg,1
../../data/train_2/27264.jpg,../../data/train_2/24912.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/12847.jpg,../../data/train_2/28427.jpg,1
../../data/train_1/101710.jpg,../../data/train_2/24098.jpg,1
../../data/train_1/10137.jpg,../../data/train_1/11818.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/102237.jpg,../../data/train_2/24840.jpg,1
../../data/train_2/29092.jpg,../../data/train_1/12978.jpg,1
../../data/train_1/16344.jpg,../../data/train_2/22894.jpg,1
../../data/train_2/29021.jpg,../../data/train_2/21769.jpg,1
../../data/train_1/103071.jpg,../../data/train_2/22498.jpg,1
../../data/train_1/18132.jpg,../../data/train_2/26183.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/10403.jpg,../../data/train_2/27807.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
../../data/train_1/103117.jpg,../../data/train_2/2868.jpg,1
../../data/train_2/22150.jpg,../../data/train_1/16212.jpg,1
../../data/train_2/21222.jpg,../../data/train_2/22528.jpg,1
../../data/train_2/24844.jpg,../../data/train_2/20684.jpg,1
../../data/train_1/13927.jpg,../../data/train_1/16576.jpg,1
../../data/train_1/100019.jpg,../../data/train_2/20972.jpg,1
../../data/train_1/14594.jpg,../../data/train_1/100840.jpg,1
../../data/train_2/23344.jpg,../../data/train_1/18281.jpg,0
